prompt_id,source,exclusion_reason,prompt_preview
lh-0000,labeled_history.csv,Conversational context about an ongoing issue in another instance,it may have been fixed already... we are running the install.ps1 in another inst
lh-0007,labeled_history.csv,"Answering a clarifying question, not a standalone task",Diagnostic tests that run on-demand to check if the current shell environment is
lh-0008,labeled_history.csv,Fragment answering a scope question from prior context,"Multiple shell types, all shells on both linux and windows"
lh-0009,labeled_history.csv,Conversational fragment selecting all options,all of the above
lh-0011,labeled_history.csv,Short conversational directive needing prior context,Just report status
lh-0016,labeled_history.csv,Conversational follow-up sharing a link about known issue,it apparently has windows compat issues as well: https://github.com/kenryu42/cla
lh-0017,labeled_history.csv,Clarifying question about assistant's prior research method,"have you reviewed how the code in this new repo works, or are you taking the ""ho"
lh-0018,labeled_history.csv,Follow-up question referencing features from prior context,what about the Audit logging and Secret redaction features?
lh-0022,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,"what about these:
claude\hooks\ensure-mcp-config.sh
claude\hooks\hooks.json
clau"
lh-0024,labeled_history.csv,"Conversational fragment about a crash, not a task",you crashed
lh-0027,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,yes add logging to edit and write hooks
lh-0040,labeled_history.csv,Follow-up fragment needing prior context,as part of a normal build or something?
lh-0043,labeled_history.csv,Vague follow-up needing prior context,does that setup paths as needed?
lh-0046,labeled_history.csv,Confirmation response to assistant's question,Want me to add a pre-check that skips if the tool is already available on PATH? 
lh-0050,labeled_history.csv,Conversational fragment requiring prior context,no commit and add them to this branch
lh-0052,labeled_history.csv,Conversational continuation needing prior context,yes extend it for docker and dotnet too
lh-0057,labeled_history.csv,Affirmative conversational fragment,yes please
lh-0058,labeled_history.csv,Short directive requiring prior context,test that new flag
lh-0061,labeled_history.csv,Contextual fragment clarifying prior question,its installed using winget
lh-0063,labeled_history.csv,Conversational suggestion needing prior context,shouldn't it be in /c/Users/mglenn/AppData/Local/Microsoft/WinGet/Links/
lh-0068,labeled_history.csv,Scoping directive needing prior context,only worry about the files you changed
lh-0072,labeled_history.csv,Conversational complaint needing prior context,why do you keep recreating README.old.md
lh-0073,labeled_history.csv,Directive fragment referencing prior conversation,just don't restore it when I tell you to commit
lh-0074,labeled_history.csv,Frustrated conversational fragment about git staging,its already deleted... I do not understand git add . should stage and then you c
lh-0076,labeled_history.csv,Follow-up question requiring prior conversation context,do we need to update other entries in settings.json ?
lh-0078,labeled_history.csv,Short directive fragment needing prior context,use browsermcp
lh-0081,labeled_history.csv,"Simple git command, not a classifiable prompt",git co dev
lh-0085,labeled_history.csv,Correction referencing prior conversation context,we are on windows... run install.ps1 not install
lh-0088,labeled_history.csv,Follow-up referencing unspecified prior addition,add it to the install.ps1 as well
lh-0091,labeled_history.csv,Follow-up request needing prior context,read the README.md and docs/ too please
lh-0093,labeled_history.csv,Conversational follow-up about tool auth state,check if you need me to log back in for any of those tools
lh-0094,labeled_history.csv,Retry directive after prior failed attempt,try kubectl again I activated the wireguard vpn
lh-0097,labeled_history.csv,Follow-up referencing unspecified prior service context,can you check the logs first before restarting it?
lh-0099,labeled_history.csv,Bare URL without actionable instruction,https://directory.llmstxt.cloud/?search=claude
lh-0101,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,and why if it was unhealthy was it not restarted automaticly after some amount o
lh-0103,labeled_history.csv,Conversational fragment referencing prior plan context,this should be the first part of the current plan
lh-0109,labeled_history.csv,Conversational directive referencing prior context,lets investigate the wireguard drift first
lh-0111,labeled_history.csv,Conversational directive to reorder prior plan steps,can we apply the wireguard change first I want to keep state in line
lh-0115,labeled_history.csv,Conversational acknowledgment and pacing guidance,its ok.. we are not on a production setup... lets figure out what is going on sl
lh-0119,labeled_history.csv,Conversational fragment asking about next step,should we do a plan first?
lh-0122,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,and make sure its clear that you should be using make targets when possible to m
lh-0124,labeled_history.csv,Conversational retraction with simple directive,nevermind... I see it now.. yes make tf-eks
lh-0126,labeled_history.csv,Conversational fragment referencing prior context,show them the repo since everything is setup from that anyway
lh-0134,labeled_history.csv,"Selection from prior options, no standalone meaning",A and C in whatever order makes sense
lh-0139,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,ok what about helm state?
lh-0142,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,yes fix the IMDS hop limit
lh-0148,labeled_history.csv,Directive narrowing prior discussion scope,ignore multi-az and other single point of failure issues... we are not doing tho
lh-0149,labeled_history.csv,"Correction to prior conversation, no standalone task",1.34 is not wrong... it is the latest version
lh-0155,labeled_history.csv,Context-dependent question referencing prior conversation state,in our current context do you still have info on the redeploy dns issues we had?
lh-0161,labeled_history.csv,Conversational fragment requiring prior context,oh we are revisiting it right now
lh-0162,labeled_history.csv,Ambiguous conversational fragment needing prior context,can we do both?
lh-0171,labeled_history.csv,Conversational continuation requiring prior context,yes update the plan using a sub agent with the found issues
lh-0173,labeled_history.csv,Short confirmation referencing prior context,yes update structured-analysis too
lh-0175,labeled_history.csv,"Just a URL, no actionable prompt",https://code.claude.com/docs/en/chrome
lh-0181,labeled_history.csv,Conversational acknowledgment needing prior context,its working
lh-0184,labeled_history.csv,Conversational retry referencing prior failed attempt,try again... browsermcp is available and working
lh-0185,labeled_history.csv,Conversational retry referencing prior context,try browsermcp now
lh-0186,labeled_history.csv,Conversational fragment needing prior context,ok.. and now?
lh-0187,labeled_history.csv,Conversational instruction referencing prior UI state,its loaded.. you need to select something from the side menu
lh-0188,labeled_history.csv,context-dependent fragment - requires prior session context to interpret,stop the app
