prompt_id,source,current_label,bucket,notes,prompt_preview
tc-low-0000,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python function that reverses a string.
tc-low-0001,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Convert this JavaScript callback to use async/await.
tc-low-0002,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a CSS rule to center a div horizontally and vertically.
tc-low-0003,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a bash one-liner to find all .log files older than 7 days.
tc-low-0004,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL query to select all users where age > 25.
tc-low-0005,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I declare a constant in Go?
tc-low-0006,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,"Write a TypeScript interface for a User object with name, email, and age."
tc-low-0007,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Python list comprehension that filters even numbers from a list.
tc-low-0008,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Java method signature that takes a List of Strings and returns a Map.
tc-low-0009,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I destructure an object in JavaScript?
tc-low-0010,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a regex to match email addresses.
tc-low-0011,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a .gitignore file for a Node.js project.
tc-low-0012,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python f-string that formats a float to 2 decimal places.
tc-low-0013,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I add an element to an array in Ruby?
tc-low-0014,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Dockerfile FROM line for Python 3.12 slim.
tc-low-0015,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic HTML5 boilerplate page.
tc-low-0016,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Rust function signature that borrows a string slice and returns a bool.
tc-low-0017,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I create a virtual environment in Python?
tc-low-0018,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL INSERT statement for a products table.
tc-low-0019,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a React functional component that renders a paragraph.
tc-low-0020,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a shell command to count lines in a file.
tc-low-0021,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do you declare a nullable type in Kotlin?
tc-low-0022,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python try/except block for FileNotFoundError.
tc-low-0023,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,"Create a JSON object with name, age, and hobbies array."
tc-low-0024,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Go struct for a Point with X and Y float64 fields.
tc-low-0025,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I import a module in ES6 JavaScript?
tc-low-0026,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a C# property with a getter and setter.
tc-low-0027,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic Makefile with a build and clean target.
tc-low-0028,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python decorator that prints 'called' before function execution.
tc-low-0029,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I create a new branch in git?
tc-low-0030,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL query to count rows grouped by category.
tc-low-0031,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,"Create a TypeScript enum for HTTP status codes 200, 404, 500."
tc-low-0032,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a bash function that checks if a file exists.
tc-low-0033,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I read a file line by line in Python?
tc-low-0034,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Java for-each loop over an ArrayList of Strings.
tc-low-0035,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a CSS flexbox container with three evenly spaced children.
tc-low-0036,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Rust match expression on an Option type.
tc-low-0037,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I set an environment variable in a Docker Compose file?
tc-low-0038,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python lambda that squares a number.
tc-low-0039,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic Express.js route that returns JSON.
tc-low-0040,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL ALTER TABLE to add a column.
tc-low-0041,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I clone an object in JavaScript?
tc-low-0042,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Swift function that returns an optional String.
tc-low-0043,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,"Create a YAML config file with database host, port, and name."
tc-low-0044,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python class with __init__ and __str__ methods.
tc-low-0045,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I sort a list of dictionaries by a key in Python?
tc-low-0046,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Terraform variable block for an AWS region.
tc-low-0047,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a basic .env file with DB_HOST and DB_PORT.
tc-low-0048,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a JavaScript ternary operator to check if a value is null.
tc-low-0049,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I convert a string to an integer in Rust?
tc-low-0050,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a CSS media query for screens under 768px.
tc-low-0051,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Python generator function that yields fibonacci numbers.
tc-low-0052,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a SQL INNER JOIN between users and orders tables.
tc-low-0053,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I use map() in Java streams?
tc-low-0054,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Go for loop that iterates over a slice.
tc-low-0055,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a React useState hook for a counter.
tc-low-0056,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a bash command to redirect stderr to a file.
tc-low-0057,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,How do I create an index in MongoDB?
tc-low-0058,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Write a Python dictionary comprehension from two lists.
tc-low-0059,training_corpus.json,low,safe low-cost seed,handcrafted unambiguous low-tier -- Haiku route confirmed,Create a Kubernetes Pod YAML with one nginx container.
